,cursor,nameWithOwner,url,stargazerCount,createdAt,releases
0,Y3Vyc29yOjM=,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,64732,2014-08-09T16:45:18Z,0
1,Y3Vyc29yOjQ=,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,63189,2018-12-06T08:01:22Z,0
2,Y3Vyc29yOjU=,elastic/elasticsearch,https://github.com/elastic/elasticsearch,54097,2010-02-08T13:20:56Z,42
3,Y3Vyc29yOjY=,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,53992,2012-10-19T15:02:57Z,87
4,Y3Vyc29yOjg=,kdn251/interviews,https://github.com/kdn251/interviews,50561,2017-02-14T18:19:25Z,0
5,Y3Vyc29yOjk=,macrozheng/mall,https://github.com/macrozheng/mall,47252,2018-04-04T01:11:44Z,1
6,Y3Vyc29yOjEw,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,44343,2013-01-08T20:11:48Z,215
7,Y3Vyc29yOjEx,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,41872,2010-12-08T04:04:45Z,203
8,Y3Vyc29yOjEy,google/guava,https://github.com/google/guava,40607,2014-05-29T16:23:17Z,31
9,Y3Vyc29yOjEz,square/okhttp,https://github.com/square/okhttp,39600,2012-07-23T13:42:55Z,0
10,Y3Vyc29yOjE0,square/retrofit,https://github.com/square/retrofit,37717,2010-09-06T21:39:43Z,27
11,Y3Vyc29yOjE1,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,36013,2016-07-16T10:21:02Z,0
12,Y3Vyc29yOjE2,apache/dubbo,https://github.com/apache/dubbo,34839,2012-06-19T07:56:02Z,28
13,Y3Vyc29yOjE3,PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,32948,2014-04-25T14:29:47Z,44
14,Y3Vyc29yOjE4,bumptech/glide,https://github.com/bumptech/glide,30861,2013-07-08T22:52:33Z,36
15,Y3Vyc29yOjE5,airbnb/lottie-android,https://github.com/airbnb/lottie-android,30819,2016-10-06T22:42:42Z,29
16,Y3Vyc29yOjIx,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,29009,2016-07-30T18:18:32Z,116
17,Y3Vyc29yOjIy,zxing/zxing,https://github.com/zxing/zxing,27364,2011-10-12T14:07:27Z,27
18,Y3Vyc29yOjIz,netty/netty,https://github.com/netty/netty,26201,2010-11-09T09:22:21Z,0
19,Y3Vyc29yOjI0,crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,25897,2017-12-17T09:06:50Z,0
20,Y3Vyc29yOjI1,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,25713,2019-03-01T03:27:48Z,0
21,Y3Vyc29yOjI2,JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,25652,2013-03-05T08:18:59Z,0
22,Y3Vyc29yOjI3,proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,25511,2017-10-25T10:07:27Z,49
23,Y3Vyc29yOjI4,geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,25511,2020-05-29T05:47:09Z,0
24,Y3Vyc29yOjI5,skylot/jadx,https://github.com/skylot/jadx,25436,2013-03-18T17:08:21Z,14
25,Y3Vyc29yOjMw,eugenp/tutorials,https://github.com/eugenp/tutorials,25179,2013-04-29T18:26:36Z,0
26,Y3Vyc29yOjMx,ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,25042,2016-11-05T05:32:33Z,0
27,Y3Vyc29yOjMy,alibaba/arthas,https://github.com/alibaba/arthas,25001,2018-08-29T17:15:57Z,33
28,Y3Vyc29yOjMz,ctripcorp/apollo,https://github.com/ctripcorp/apollo,24069,2016-03-04T10:24:23Z,30
29,Y3Vyc29yOjM0,alibaba/druid,https://github.com/alibaba/druid,23490,2011-11-03T05:12:51Z,41
30,Y3Vyc29yOjM1,greenrobot/EventBus,https://github.com/greenrobot/EventBus,23232,2012-07-16T16:55:40Z,5
31,Y3Vyc29yOjM2,alibaba/fastjson,https://github.com/alibaba/fastjson,23135,2011-11-03T06:58:52Z,81
32,Y3Vyc29yOjM3,scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,22293,2017-06-02T09:52:50Z,8
33,Y3Vyc29yOjM4,CymChad/BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,21620,2016-04-10T07:40:11Z,191
34,Y3Vyc29yOjM5,Netflix/Hystrix,https://github.com/Netflix/Hystrix,21251,2012-11-19T20:14:46Z,79
35,Y3Vyc29yOjQw,xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,20936,2017-11-10T06:27:29Z,0
36,Y3Vyc29yOjQx,zhangdaiscott/jeecg-boot,https://github.com/zhangdaiscott/jeecg-boot,20821,2018-11-26T10:40:00Z,13
37,Y3Vyc29yOjQy,lenve/vhr,https://github.com/lenve/vhr,20590,2018-01-04T08:57:51Z,0
38,Y3Vyc29yOjQz,SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,20345,2013-01-14T21:40:56Z,27
39,Y3Vyc29yOjQ0,signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,20068,2011-12-15T20:01:12Z,0
40,Y3Vyc29yOjQ2,qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,19525,2018-09-14T04:36:24Z,0
41,Y3Vyc29yOjQ3,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,19445,2015-10-21T08:26:28Z,123
42,Y3Vyc29yOjQ4,ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,19341,2014-08-19T03:46:38Z,18
43,Y3Vyc29yOjQ5,google/gson,https://github.com/google/gson,19299,2015-03-19T18:21:20Z,0
44,Y3Vyc29yOjUw,alibaba/easyexcel,https://github.com/alibaba/easyexcel,19152,2018-02-06T03:14:08Z,1
45,Y3Vyc29yOjUx,seata/seata,https://github.com/seata/seata,18915,2018-12-28T08:37:22Z,30
46,Y3Vyc29yOjUy,wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,18812,2018-05-02T02:48:44Z,0
47,Y3Vyc29yOjUz,halo-dev/halo,https://github.com/halo-dev/halo,18295,2018-03-21T12:56:52Z,68
48,Y3Vyc29yOjU0,apache/kafka,https://github.com/apache/kafka,18268,2011-08-15T18:06:16Z,0
49,Y3Vyc29yOjU1,dromara/hutool,https://github.com/dromara/hutool,18262,2014-04-13T07:23:51Z,81
50,Y3Vyc29yOjU2,libgdx/libgdx,https://github.com/libgdx/libgdx,18153,2012-08-10T19:34:38Z,7
51,Y3Vyc29yOjU3,alibaba/canal,https://github.com/alibaba/canal,18116,2013-01-13T10:59:52Z,20
52,Y3Vyc29yOjU4,alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,17942,2017-12-01T20:49:15Z,18
53,Y3Vyc29yOjU5,square/picasso,https://github.com/square/picasso,17900,2013-05-14T15:07:47Z,7
54,Y3Vyc29yOjYw,xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,17597,2015-11-28T12:59:34Z,30
55,Y3Vyc29yOjYx,Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,17560,2012-07-17T16:39:00Z,5
56,Y3Vyc29yOjYy,google/ExoPlayer,https://github.com/google/ExoPlayer,17401,2014-06-13T21:19:18Z,8
57,Y3Vyc29yOjYz,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,17040,2010-11-22T21:21:23Z,89
58,Y3Vyc29yOjY0,didi/DoraemonKit,https://github.com/didi/DoraemonKit,16953,2018-08-14T10:32:07Z,3
59,Y3Vyc29yOjY1,nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,16800,2011-11-27T18:48:23Z,0
60,Y3Vyc29yOjY2,alibaba/nacos,https://github.com/alibaba/nacos,16679,2018-06-15T06:49:27Z,35
61,Y3Vyc29yOjY3,facebook/fresco,https://github.com/facebook/fresco,16510,2015-03-02T09:58:04Z,43
62,Y3Vyc29yOjY4,apache/skywalking,https://github.com/apache/skywalking,16360,2015-11-07T03:30:36Z,43
63,Y3Vyc29yOjY5,bazelbuild/bazel,https://github.com/bazelbuild/bazel,16359,2014-06-12T16:00:38Z,97
64,Y3Vyc29yOjcw,redisson/redisson,https://github.com/redisson/redisson,15938,2014-01-11T14:06:25Z,91
65,Y3Vyc29yOjcx,shuzheng/zheng,https://github.com/shuzheng/zheng,15883,2016-10-04T10:07:06Z,0
66,Y3Vyc29yOjcy,CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,15876,2016-11-13T12:34:31Z,23
67,Y3Vyc29yOjcz,apache/flink,https://github.com/apache/flink,15757,2014-06-07T07:00:10Z,0
68,Y3Vyc29yOjc0,Tencent/tinker,https://github.com/Tencent/tinker,15689,2016-09-06T06:57:52Z,37
69,Y3Vyc29yOjc1,alibaba/Sentinel,https://github.com/alibaba/Sentinel,15550,2018-04-04T06:37:33Z,17
70,Y3Vyc29yOjc2,linlinjava/litemall,https://github.com/linlinjava/litemall,15544,2018-03-22T16:42:30Z,8
71,Y3Vyc29yOjc3,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,15228,2013-02-14T19:03:32Z,33
72,Y3Vyc29yOjc4,forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,15103,2017-04-08T10:06:56Z,0
73,Y3Vyc29yOjc5,dianping/cat,https://github.com/dianping/cat,15093,2012-12-05T02:31:48Z,0
74,Y3Vyc29yOjgw,elunez/eladmin,https://github.com/elunez/eladmin,14791,2018-12-14T08:54:24Z,6
75,Y3Vyc29yOjgx,oracle/graal,https://github.com/oracle/graal,14763,2016-01-14T17:11:35Z,32
76,Y3Vyc29yOjgy,android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,14752,2014-08-19T14:09:26Z,0
77,Y3Vyc29yOjgz,brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,14720,2013-10-08T05:43:03Z,0
78,Y3Vyc29yOjg0,winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,14495,2014-03-16T17:25:43Z,0
79,Y3Vyc29yOjg1,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,14220,2012-11-24T00:14:41Z,0
80,Y3Vyc29yOjg2,openzipkin/zipkin,https://github.com/openzipkin/zipkin,14126,2012-06-06T18:26:16Z,62
81,Y3Vyc29yOjg3,JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,14062,2017-02-06T07:02:25Z,0
82,Y3Vyc29yOjg4,lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,13930,2017-01-27T18:24:50Z,0
83,Y3Vyc29yOjg5,hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,13790,2014-01-17T16:44:46Z,0
84,Y3Vyc29yOjkw,apache/rocketmq,https://github.com/apache/rocketmq,13754,2016-11-30T08:00:08Z,1
85,Y3Vyc29yOjkx,LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,13526,2012-09-21T13:42:24Z,10
86,Y3Vyc29yOjky,lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,13519,2015-03-08T20:54:00Z,0
87,Y3Vyc29yOjkz,apache/shardingsphere,https://github.com/apache/shardingsphere,13508,2016-01-18T12:49:26Z,43
88,Y3Vyc29yOjk0,TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,12975,2015-09-03T23:39:26Z,97
89,Y3Vyc29yOjk1,alibaba/ARouter,https://github.com/alibaba/ARouter,12950,2016-12-14T01:27:49Z,16
90,Y3Vyc29yOjk2,dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,12886,2016-08-21T03:39:06Z,0
91,Y3Vyc29yOjk3,Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,12737,2017-04-21T10:03:18Z,34
92,Y3Vyc29yOjk4,orhanobut/logger,https://github.com/orhanobut/logger,12704,2015-03-20T22:30:12Z,16
93,Y3Vyc29yOjk5,Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,12600,2014-12-28T01:46:38Z,0
94,Y3Vyc29yOjEwMA==,Curzibn/Luban,https://github.com/Curzibn/Luban,12375,2016-07-24T07:43:21Z,6
