,cursor,nameWithOwner,url,stargazerCount,createdAt,releases
0,Y3Vyc29yOjg2MA==,micrometer-metrics/micrometer,https://github.com/micrometer-metrics/micrometer,2801,2017-04-10T21:36:51Z,98
1,Y3Vyc29yOjg2MQ==,java8/Java8InAction,https://github.com/java8/Java8InAction,2800,2013-10-28T23:59:40Z,0
2,Y3Vyc29yOjg2Mg==,nic-delhi/AarogyaSetu_Android,https://github.com/nic-delhi/AarogyaSetu_Android,2800,2020-05-26T17:36:26Z,0
3,Y3Vyc29yOjg2Mw==,ltsopensource/light-task-scheduler,https://github.com/ltsopensource/light-task-scheduler,2796,2014-10-24T12:53:14Z,29
4,Y3Vyc29yOjg2NA==,huanghongxun/HMCL,https://github.com/huanghongxun/HMCL,2796,2015-06-22T08:06:03Z,164
5,Y3Vyc29yOjg2NQ==,mzule/ActivityRouter,https://github.com/mzule/ActivityRouter,2795,2016-04-08T02:27:14Z,3
6,Y3Vyc29yOjg2Ng==,mxdldev/android-mvp-mvvm-flytour,https://github.com/mxdldev/android-mvp-mvvm-flytour,2790,2018-12-25T10:42:31Z,11
7,Y3Vyc29yOjg2Nw==,android-notes/Cockroach,https://github.com/android-notes/Cockroach,2787,2017-02-14T03:43:51Z,1
8,Y3Vyc29yOjg2OA==,guolindev/booksource,https://github.com/guolindev/booksource,2785,2016-10-04T02:55:57Z,0
9,Y3Vyc29yOjg2OQ==,FasterXML/jackson-databind,https://github.com/FasterXML/jackson-databind,2778,2011-12-23T07:17:41Z,0
10,Y3Vyc29yOjg3MA==,alibaba/jetcache,https://github.com/alibaba/jetcache,2777,2017-04-12T07:48:23Z,47
11,Y3Vyc29yOjg3MQ==,florent37/ExpectAnim,https://github.com/florent37/ExpectAnim,2776,2017-02-20T15:05:03Z,1
12,Y3Vyc29yOjg3Mg==,gouthampradhan/leetcode,https://github.com/gouthampradhan/leetcode,2775,2017-03-09T10:30:30Z,0
13,Y3Vyc29yOjg3Mw==,CrawlScript/WebCollector,https://github.com/CrawlScript/WebCollector,2775,2014-07-12T03:16:12Z,0
14,Y3Vyc29yOjg3NA==,AweiLoveAndroid/CommonDevKnowledge,https://github.com/AweiLoveAndroid/CommonDevKnowledge,2770,2017-12-15T03:00:08Z,0
15,Y3Vyc29yOjg3NQ==,JakeWharton/scalpel,https://github.com/JakeWharton/scalpel,2769,2014-01-06T17:26:01Z,0
16,Y3Vyc29yOjg3Ng==,qunarcorp/bistoury,https://github.com/qunarcorp/bistoury,2768,2019-08-01T07:54:25Z,8
17,Y3Vyc29yOjg3Nw==,Tencent/MSEC,https://github.com/Tencent/MSEC,2760,2016-11-28T01:50:35Z,0
18,Y3Vyc29yOjg3OA==,Teevity/ice,https://github.com/Teevity/ice,2756,2013-06-14T20:56:13Z,3
19,Y3Vyc29yOjg3OQ==,FinalTeam/RxGalleryFinal,https://github.com/FinalTeam/RxGalleryFinal,2755,2016-04-22T01:41:15Z,1
20,Y3Vyc29yOjg4MA==,trojan-gfw/igniter,https://github.com/trojan-gfw/igniter,2753,2018-11-08T22:19:03Z,31
21,Y3Vyc29yOjg4MQ==,airbnb/airpal,https://github.com/airbnb/airpal,2752,2014-05-05T18:51:30Z,0
22,Y3Vyc29yOjg4Mg==,cabaletta/baritone,https://github.com/cabaletta/baritone,2752,2018-08-01T15:34:21Z,55
23,Y3Vyc29yOjg4Mw==,traccar/traccar,https://github.com/traccar/traccar,2751,2012-04-16T08:33:49Z,32
24,Y3Vyc29yOjg4NA==,JoanZapata/android-pdfview,https://github.com/JoanZapata/android-pdfview,2750,2012-11-21T16:19:38Z,0
